timestamp,entityType,errorCode,errorMsg,initialComponent,initialSystem,logger,loggingComponent,loggingSystem,payloadType,sessionId,transactionId,txnState
2016-04-19T04:50:38.407Z,,,,/claims/types/P0000214,API-GATEWAY,api.claims.get.types.productId.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,eadb2acd-d9fa-4989-b171-1ca1eb3d2877,completed
2016-04-19T04:50:38.407Z,,,,,,api.claims.v2.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,eadb2acd-d9fa-4989-b171-1ca1eb3d2877,uServiceV2Completed
2016-04-19T04:50:38.780Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,ESB_Response_Received
2016-04-19T04:50:38.782Z,,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,API_Request_Sent
2016-04-19T04:50:38.796Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Received
2016-04-19T04:50:38.800Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Request_Sent
2016-04-19T04:50:40.574Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Response_Received
2016-04-19T04:50:40.576Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Sent
2016-04-19T04:50:40.585Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Received
2016-04-19T04:50:40.588Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Request_Sent
2016-04-19T04:50:41.396Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Response_Received
2016-04-19T04:50:41.397Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Sent
2016-04-19T04:50:41.400Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Received
2016-04-19T04:50:41.402Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Sent
2016-04-19T04:50:41.404Z,,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,API_Response_Received
2016-04-19T04:50:41.407Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,API_Response_Sent
2016-04-19T04:50:41.411Z,,,,/claims,API-GATEWAY,api.claims.get.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,completed
2016-04-19T04:50:41.411Z,,,,,,api.claims.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,uServiceCompleted
